"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"R08","POK HONG","2","CHAN KWOK TIM","2,666",FALSE,FALSE,2666,2015
"R09","JAT MIN","1","CHAU PING HIM","541",FALSE,FALSE,541,2015
"R09","JAT MIN","2","YIP KA MING MICHAEL","1,050",FALSE,FALSE,1050,2015
"R09","JAT MIN","3","YAU MAN CHUN","3,221*",FALSE,TRUE,3221,2015
"R10","CHUN FUNG","1","LEUNG KA WAI","1,578",FALSE,FALSE,1578,2015
"R10","CHUN FUNG","2","CHAN NOK HANG","3,724*",FALSE,TRUE,3724,2015
"R11","SUN TIN WAI","1","LI LOK YAN","1,488",FALSE,FALSE,1488,2015
"R11","SUN TIN WAI","2","CHING CHEUNG YING","2,455*",FALSE,TRUE,2455,2015
"R12","CHUI TIN","1","HUI YUI YU","2,048*",FALSE,TRUE,2048,2015
"R12","CHUI TIN","2","WONG CHAK PIU PHILIP","1,675",FALSE,FALSE,1675,2015
"R13","HIN KA","1","LAM CHUNG YAN","2,473*",FALSE,TRUE,2473,2015
"R13","HIN KA","2","MOK WAI HUNG","1,713",FALSE,FALSE,1713,2015
"R14","LOWER SHING MUN","1","TONG HOK LEUNG","1,209*",FALSE,TRUE,1209,2015
"R14","LOWER SHING MUN","2","LEE YUEN KAM","987",FALSE,FALSE,987,2015
"R14","LOWER SHING MUN","3","CHONG YIU KAN SHERMAN","1,175",FALSE,FALSE,1175,2015
"R15","WAN SHING","1","WONG LEUNG HI","962",FALSE,FALSE,962,2015
"R15","WAN SHING","2","CHEUNG TAK WING","927",FALSE,FALSE,927,2015
"R15","WAN SHING","3","HO HAU CHEUNG","1,989*",FALSE,TRUE,1989,2015
"R16","KENG HAU","1","NG KAM HUNG","2,826*",FALSE,TRUE,2826,2015
"R16","KENG HAU","2","HO KWOK WAH GEORGE","2,144",FALSE,FALSE,2144,2015
"R17","TIN SUM","*","PUN KWOK SHAN","Uncontested",TRUE,TRUE,0,2015
"R18","CHUI KA","1","WAI TAK LUN","1,029",FALSE,FALSE,1029,2015
"R18","CHUI KA","2","LEE KAM MING","1,068",FALSE,FALSE,1068,2015
"R18","CHUI KA","3","LI SAI HUNG","2,433*",FALSE,TRUE,2433,2015
"R19","TAI WAI","1","TUNG KIN LEI","3,649*",FALSE,TRUE,3649,2015
"R19","TAI WAI","2","LEUNG CHUN HIN","2,087",FALSE,FALSE,2087,2015
"R20","CHUNG TIN","1","WONG HOK LAI","1,631*",FALSE,TRUE,1631,2015
"R20","CHUNG TIN","2","LO YUET CHAU","662",FALSE,FALSE,662,2015
"R20","CHUNG TIN","3","TANG WING CHEONG","1,268",FALSE,FALSE,1268,2015
"R21","SUI WO","1","YAU CHI KIN","1,984",FALSE,FALSE,1984,2015
"R21","SUI WO","2","PANG CHEUNG WAI THOMAS","2,160*",FALSE,TRUE,2160,2015
"R21","SUI WO","3","LI SUI HA(LISA)","101",FALSE,FALSE,101,2015
"R22","FO TAN","1","PONG SCARLETT OI LAN","1,905*",FALSE,TRUE,1905,2015
"R22","FO TAN","2","CHAN MAN FAI","1,250",FALSE,FALSE,1250,2015
"R23","CHUN MA","1","HO WAI LOK(RONALD)","1,169",FALSE,FALSE,1169,2015
"R23","CHUN MA","2","SIU HIN HONG","1,658*",FALSE,TRUE,1658,2015
"R23","CHUN MA","3","CHENG WING CHUNG(PC)","148",FALSE,FALSE,148,2015
"R24","CHUNG ON","1","QUAT ELIZABETH(EQ)","2,376",FALSE,FALSE,2376,2015
"R24","CHUNG ON","2","YIP WING","2,506*",FALSE,TRUE,2506,2015
"R25","KAM TO","1","YEUNG MAN YUI(GARY)","2,455",FALSE,FALSE,2455,2015
"R25","KAM TO","2","CHAN KWOK KEUNG(JAMES)","2,592*",FALSE,TRUE,2592,2015
"R26","MA ON SHAN TOWN CENTRE","1","LEE CHI WING ALVIN","2,391*",FALSE,TRUE,2391,2015
"R26","MA ON SHAN TOWN CENTRE","2","MAN CHI WAI","1,106",FALSE,FALSE,1106,2015
"R27","LEE ON","1","MAK YUN PUI(CHRIS MAK)","3,938*",FALSE,TRUE,3938,2015
"R27","LEE ON","2","KONG CHEUK WAI","33",FALSE,FALSE,33,2015
"R27","LEE ON","3","LO TAI SUEN ADA","1,767",FALSE,FALSE,1767,2015
"R28","FU LUNG","1","TSANG SO LAI","3,027*",FALSE,TRUE,3027,2015
"R28","FU LUNG","2","LAW KWONG KEUNG(KK)","2,730",FALSE,FALSE,2730,2015
"R29","WU KAI SHA","1","LI WING SHING","1,567*",FALSE,TRUE,1567,2015
"R29","WU KAI SHA","2","SIO CHAN IN DEVIN","1,121",FALSE,FALSE,1121,2015
"R30","KAM YING","1","TONG PO CHUN","1,442",FALSE,FALSE,1442,2015
"R30","KAM YING","2","LI PO MUI","888",FALSE,FALSE,888,2015
"R30","KAM YING","3","TING TSZ YUEN","1,612*",FALSE,TRUE,1612,2015
"R30","KAM YING","4","LAW SIU CHUN","1,176",FALSE,FALSE,1176,2015
"R31","YIU ON","1","LI SAI WING","3,021*",FALSE,TRUE,3021,2015
"R31","YIU ON","2","CHEUNG PIK HA","2,071",FALSE,FALSE,2071,2015
"R32","HENG ON","1","LAM TAK WAI","2,706",FALSE,FALSE,2706,2015
"R32","HENG ON","2","CHENG TSUK MAN","3,740*",FALSE,TRUE,3740,2015
"R33","ON TAI","1","CHIU MAN LEONG","3,657*",FALSE,TRUE,3657,2015
"R33","ON TAI","2","YAU YUET WAH DONNA","2,647",FALSE,FALSE,2647,2015
"R34","TAI SHUI HANG","1","YUNG MING CHAU MICHAEL","2,964*",FALSE,TRUE,2964,2015
"R34","TAI SHUI HANG","2","CHEUNG CHI YIN","2,629",FALSE,FALSE,2629,2015
"R35","YU YAN","*","YIU KA CHUN","Uncontested",TRUE,TRUE,0,2015
"R36","BIK WOO","1","OWEN OI MING EMILY","1,490",FALSE,FALSE,1490,2015
"R36","BIK WOO","2","WONG PING FAN","2,352*",FALSE,TRUE,2352,2015
"R36","BIK WOO","3","LAU WAI LUN","1,151",FALSE,FALSE,1151,2015
"R37","KWONG HONG","1","CHOI CHUN CHIU PAUL","1,028",FALSE,FALSE,1028,2015
"R37","KWONG HONG","2","WONG FU SANG","2,034*",FALSE,TRUE,2034,2015
"R37","KWONG HONG","3","NG WAI LING","1,828",FALSE,FALSE,1828,2015
