"ConstituencyCode","Constituency","CandidateCode","CandidateAlias","Votes","Uncontested","elected","VotesN","Year","Key","Candidate"
"M11","PING SHAN SOUTH","*","CHEUNG MUK LAM","Uncontested",TRUE,TRUE,0,2015,"M11_*","CHEUNG MUK LAM"
"M12","PING SHAN CENTRAL","*","TANG HING IP","Uncontested",TRUE,TRUE,0,2015,"M12_*","TANG HING IP"
"M13","PING SHAN NORTH","1","TANG TAT SIN","938",FALSE,FALSE,938,2015,"M13_1","TANG TAT SIN"
"M13","PING SHAN NORTH","2","YOUNG KA ON","1,344*",FALSE,TRUE,1344,2015,"M13_2","YOUNG KA ON"
"M14","HA TSUEN","1","CHENG KAM HO","376",FALSE,FALSE,376,2015,"M14_1","CHENG KAM HO"
"M14","HA TSUEN","2","TANG KA LEUNG","2,610*",FALSE,TRUE,2610,2015,"M14_2","TANG KA LEUNG"
"M15","TIN SHING","1","CHAN SZE CHING","3,702*",FALSE,TRUE,3702,2015,"M15_1","CHAN SZE CHING"
"M15","TIN SHING","2","LEUNG YIP PANG","1,807",FALSE,FALSE,1807,2015,"M15_2","LEUNG YIP PANG"
"M16","SHUI OI","1","CHAU TSZ KI","1,434",FALSE,FALSE,1434,2015,"M16_1","CHAU TSZ KI"
"M16","SHUI OI","2","KWOK KEUNG","3,136*",FALSE,TRUE,3136,2015,"M16_2","KWOK KEUNG"
"M17","SHUI WAH","1","KO CHUN KIT","1,634",FALSE,FALSE,1634,2015,"M17_1","KO CHUN KIT"
"M17","SHUI WAH","2","CHOW WING KAN","1,941*",FALSE,TRUE,1941,2015,"M17_2","CHOW WING KAN"
"M18","CHUNG WAH","1","WONG WAI LING","1,775*",FALSE,TRUE,1775,2015,"M18_1","WONG WAI LING"
"M18","CHUNG WAH","2","CHAN KA KUI","965",FALSE,FALSE,965,2015,"M18_2","CHAN KA KUI"
"M19","YUET YAN","*","CHIU SAU HAN","Uncontested",TRUE,TRUE,0,2015,"M19_*","CHIU SAU HAN"
"M20","FU YAN","1","KEUNG KWOK WAI","1,339",FALSE,FALSE,1339,2015,"M20_1","KEUNG KWOK WAI"
"M20","FU YAN","2","LAU KWAI YUNG","2,819*",FALSE,TRUE,2819,2015,"M20_2","LAU KWAI YUNG"
"M21","YAT CHAK","1","KWOK HING PING","2,288*",FALSE,TRUE,2288,2015,"M21_1","KWOK HING PING"
"M21","YAT CHAK","2","WONG YUEN FAI","496",FALSE,FALSE,496,2015,"M21_2","WONG YUEN FAI"
"M21","YAT CHAK","3","WONG YU CHOI","1,468",FALSE,FALSE,1468,2015,"M21_3","WONG YU CHOI"
"M22","TIN HENG","1","WONG PAK YU","1,317",FALSE,FALSE,1317,2015,"M22_1","WONG PAK YU"
"M22","TIN HENG","2","CHEUNG KWOK TUNG","846",FALSE,FALSE,846,2015,"M22_2","CHEUNG KWOK TUNG"
"M22","TIN HENG","3","LUK CHUNG HUNG(MICHAEL)","2,749*",FALSE,TRUE,2749,2015,"M22_3","LUK CHUNG HUNG"
"M23","WANG YAT","*","YIU KWOK WAI","Uncontested",TRUE,TRUE,0,2015,"M23_*","YIU KWOK WAI"
"M24","CHING KING","1","TANG CHEUK HIM","2,423*",FALSE,TRUE,2423,2015,"M24_1","TANG CHEUK HIM"
"M24","CHING KING","2","SO WING CHAU","632",FALSE,FALSE,632,2015,"M24_2","SO WING CHAU"
"M25","KINGSWOOD NORTH","1","LEE YUET MAN","2,775*",FALSE,TRUE,2775,2015,"M25_1","LEE YUET MAN"
"M25","KINGSWOOD NORTH","2","HO WAI FONG POLLY","1,747",FALSE,FALSE,1747,2015,"M25_2","HO WAI FONG POLLY"
"M26","TSZ YAU","1","CHAN MEI LIN","2,438*",FALSE,TRUE,2438,2015,"M26_1","CHAN MEI LIN"
"M26","TSZ YAU","2","CHING YUNG FAI","1,345",FALSE,FALSE,1345,2015,"M26_2","CHING YUNG FAI"
"M27","YIU YAU","1","MA SHUK YIN","1,584*",FALSE,TRUE,1584,2015,"M27_1","MA SHUK YIN"
"M27","YIU YAU","2","WONG PUI YIN AGATHA","1,255",FALSE,FALSE,1255,2015,"M27_2","WONG PUI YIN AGATHA"
"M28","TIN YIU","1","LEUNG CHE CHEUNG","1,713*",FALSE,TRUE,1713,2015,"M28_1","LEUNG CHE CHEUNG"
"M28","TIN YIU","2","LEUNG CHIN HANG(PLISKIN)","1,552",FALSE,FALSE,1552,2015,"M28_2","LEUNG CHIN HANG"
"M29","KINGSWOOD SOUTH","1","NG YUK YING(KATY)","1,724",FALSE,FALSE,1724,2015,"M29_1","NG YUK YING"
"M29","KINGSWOOD SOUTH","2","CHAM KA HUNG DANIEL","2,191*",FALSE,TRUE,2191,2015,"M29_2","CHAM KA HUNG DANIEL"
"M30","CHUNG PAK","1","WONG CHEUK KIN","2,078*",FALSE,TRUE,2078,2015,"M30_1","WONG CHEUK KIN"
"M30","CHUNG PAK","2","MOK YIM HAY","1,380",FALSE,FALSE,1380,2015,"M30_2","MOK YIM HAY"
"M31","FAIRVIEW PARK","1","TO KA LUN","1,826*",FALSE,TRUE,1826,2015,"M31_1","TO KA LUN"
