"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"N16","沙打","1","<U+6E29>和輝","2,307*",FALSE,TRUE,2307,2015
"N16","沙打","2","曾玉安","1,104",FALSE,FALSE,1104,2015
"N16","沙打","3","張貴財","651",FALSE,FALSE,651,2015
"N16","沙打","4","朱愛平","111",FALSE,FALSE,111,2015
"N17","天平東","1","劉其烽","1,726*",FALSE,TRUE,1726,2015
"N17","天平東","2","柯倩儀","1,567",FALSE,FALSE,1567,2015
"N17","天平東","3","余智成","603",FALSE,FALSE,603,2015
"N18","皇后山","*","鄧根年","自動當選",TRUE,TRUE,0,2015
"P01","大埔墟","1","李國英","1,096*",FALSE,TRUE,1096,2015
"P01","大埔墟","2","蔡<U+548F>梅","865",FALSE,FALSE,865,2015
"P02","大埔中","1","梅少峰","1,444",FALSE,FALSE,1444,2015
"P02","大埔中","2","區鎮樺","1,866*",FALSE,TRUE,1866,2015
"P02","大埔中","3","文偉強","384",FALSE,FALSE,384,2015
"P03","頌汀","1","雷諾","1,810",FALSE,FALSE,1810,2015
"P03","頌汀","2","譚榮勳(譚SIR)","1,881*",FALSE,TRUE,1881,2015
"P04","大元","1","區鎮濠","1,334",FALSE,FALSE,1334,2015
"P04","大元","2","鄭俊平","2,017*",FALSE,TRUE,2017,2015
"P05","富亨","1","王秋北","1,417",FALSE,FALSE,1417,2015
"P05","富亨","2","任萬全","3,716*",FALSE,TRUE,3716,2015
"P06","怡富","1","張鳳燕","1,607",FALSE,FALSE,1607,2015
"P06","怡富","2","任啟邦","4,148*",FALSE,TRUE,4148,2015
"P07","富明新","1","關永業","3,147*",FALSE,TRUE,3147,2015
"P07","富明新","2","陳勇華","1,122",FALSE,FALSE,1122,2015
"P08","廣福及寶湖","1","黃碧嬌","2,248*",FALSE,TRUE,2248,2015
"P08","廣福及寶湖","2","郭樹仁","363",FALSE,FALSE,363,2015
"P08","廣福及寶湖","3","周弘隆","779",FALSE,FALSE,779,2015
"P09","宏福","1","胡健民","2,120*",FALSE,TRUE,2120,2015
"P09","宏福","2","文念志","1,570",FALSE,FALSE,1570,2015
"P10","大埔滘","*","陳笑權","自動當選",TRUE,TRUE,0,2015
"P11","運頭塘","1","鄭煒","2,123",FALSE,FALSE,2123,2015
"P11","運頭塘","2","余智榮","2,711*",FALSE,TRUE,2711,2015
"P12","新富","1","郭永健","2,064",FALSE,FALSE,2064,2015
"P12","新富","2","羅曉楓","2,447*",FALSE,TRUE,2447,2015
"P12","新富","3","胡錦輝","129",FALSE,FALSE,129,2015
"P13","林村谷","1","<U+6E29>玉榮","374",FALSE,FALSE,374,2015
"P13","林村谷","2","陳灶良","2,468*",FALSE,TRUE,2468,2015
"P13","林村谷","3","林春祥","1,744",FALSE,FALSE,1744,2015
"P14","寶雅","1","周炫瑋","2,683*",FALSE,TRUE,2683,2015
"P14","寶雅","2","黃容根","2,292",FALSE,FALSE,2292,2015
"P15","太和","*","鄭俊和","自動當選",TRUE,TRUE,0,2015
"P16","舊墟及太湖","1","劉勇威(阿威)","2,170*",FALSE,TRUE,2170,2015
"P16","舊墟及太湖","2","張國慧","1,699",FALSE,FALSE,1699,2015
"P17","康樂園","1","文春輝","1,132",FALSE,FALSE,1132,2015
"P17","康樂園","2","鄧銘泰","1,780*",FALSE,TRUE,1780,2015
"P18","船灣","*","劉志成(博士)","自動當選",TRUE,TRUE,0,2015
"P19","西貢北","1","李華光","1,024*",FALSE,TRUE,1024,2015
"P19","西貢北","2","李貴有","1,004",FALSE,FALSE,1004,2015
"Q01","西貢市中心","1","章士傑","843",FALSE,FALSE,843,2015
"Q01","西貢市中心","2","吳仕福","1,723*",FALSE,TRUE,1723,2015
"Q02","白沙灣","1","浦偉明","1,109",FALSE,FALSE,1109,2015
"Q02","白沙灣","2","邱戊秀","1,539*",FALSE,TRUE,1539,2015
"Q03","西貢離島","*","李家良","自動當選",TRUE,TRUE,0,2015
"Q04","坑口東","1","劉敏財","810",FALSE,FALSE,810,2015
"Q04","坑口東","2","劉偉章","962*",FALSE,TRUE,962,2015
"Q05","坑口西","1","陸秀貞","1,027",FALSE,FALSE,1027,2015
"Q05","坑口西","2","邱玉麟","1,397*",FALSE,TRUE,1397,2015
"Q06","寶怡","1","謝正楓","2,361*",FALSE,TRUE,2361,2015
"Q06","寶怡","2","吳雪山","1,838",FALSE,FALSE,1838,2015
"Q07","維景","1","黃成光","357",FALSE,FALSE,357,2015
"Q07","維景","2","陳繼偉","3,014*",FALSE,TRUE,3014,2015
"Q08","都善","1","蘇浩","572",FALSE,FALSE,572,2015
"Q08","都善","2","莫繡安","617",FALSE,FALSE,617,2015
"Q08","都善","3","孫柏文","531",FALSE,FALSE,531,2015
"Q08","都善","4","張展鵬","1,216*",FALSE,TRUE,1216,2015
"Q09","健明","1","周家樂","710",FALSE,FALSE,710,2015
"Q09","健明","2","梁里","3,719*",FALSE,TRUE,3719,2015
"Q10","彩健","1","吳東河","1,791",FALSE,FALSE,1791,2015
"Q10","彩健","2","何民傑","2,873*",FALSE,TRUE,2873,2015
"Q11","澳唐","1","歐陽浩崑","1,314",FALSE,FALSE,1314,2015
